event_id,merchant_id,event_timestamp,product,event_type,amount,status,channel,region,merchant_tier
67d92742-7527-4a60-ba95-ae5d2baf0c49,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
8e5487ef-51a9-42c5-b5bf-8b68a0da5af7,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
83e49ba4-6bfe-4c31-bd7b-68f9473a7a61,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
7ec7548b-408e-4199-b7ef-b85e7d37f13c,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
bbea1634-f97a-426b-b05c-92c88c361808,,2024-01-01T10:00:00,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
351cba64-0c7e-4972-9218-4750e23eb690,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
ffddf448-3411-4387-b70e-eaa4b4bd8c6a,,2024-01-01T10:00:00,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
910daeaa-1994-4a58-964a-09693965e94b,,2024-01-01T10:00:00,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
24cc1a8d-f1c2-43a7-b0ec-0d411a7e177d,,2024-01-01T10:00:00,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
9041b43a-17c0-47ed-a8a0-e5748713c183,,2024-01-01T10:00:00,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
543ec83b-bcc7-47b3-942c-c15936de0791,,2024-01-01T10:00:00,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
62bdd801-a81b-4776-94f5-1fcc5ee000d9,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
