event_id,merchant_id,event_timestamp,product,event_type,amount,status,channel,region,merchant_tier
40356199-4947-41ef-9196-5e2379ed803e,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
3a1976c9-2c6d-40a2-bcfc-bd4c9ba312a0,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
524e31e9-1ff7-4f78-a488-876457afb341,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
1e7e0d84-05c1-4636-b54c-e706cd6d335f,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
1215a4b4-2b55-4873-84d4-538d8f596a9d,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
6e7aec07-0bae-4b4d-9e25-e270cd897b72,,2024-01-01T10:00:00,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
380fecd4-d883-4818-a9dd-267c1dc53349,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
624e6c32-603c-4dbf-9dc5-7b9e3b97a269,,2024-01-01T10:00:00,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
3f312173-d737-4182-ac97-f072538e687a,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
627a2dd0-b43f-4028-a691-211528b6c7df,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
b833f559-df3d-48b6-8374-c6eb1806dbcf,MRC-002017,2024-01-29T00:00:10,SAVINGS,DEPOSIT,41146.3,SUCCESS,USSD,OGUN,PREMIUM
0f766478-26cd-4ead-89dd-e88ccf32c080,MRC-000356,2024-01-29T00:00:33,AIRTIME,DATA_PURCHASE,1788.01,SUCCESS,POS,ABUJA,STARTER
090dc446-3a38-477a-97fa-d948f3187acc,MRC-006502,2024-01-29T00:00:45,MONIEBOOK,INVENTORY_UPDATE,18887.59,SUCCESS,APP,PORT_HARCOURT,VERIFIED
22ea3d37-1e8f-4451-bd2d-c4349a477427,MRC-008662,2024-01-29T00:01:23,BILLS,ELECTRICITY,13611.85,PENDING,USSD,OGUN,VERIFIED
a54ae8bb-1101-4d8a-8346-06f564b70723,MRC-000204,2024-01-29T00:03:03,POS,CASH_WITHDRAWAL,110486.96,SUCCESS,POS,ENUGU,PREMIUM
abafef6c-8564-46c1-b2ce-ba2d8f6c1b0e,MRC-006072,2024-01-29T00:04:13,MONIEBOOK,SALE_RECORDED,25384.5,SUCCESS,APP,LAGOS,PREMIUM
60867598-5065-4d5f-b423-4123e9cf0de3,MRC-009298,2024-01-29T00:04:42,POS,CARD_TRANSACTION,109785.8,SUCCESS,POS,DELTA,STARTER
9be903f3-7904-4380-8d18-f5809ef52f8e,MRC-000179,2024-01-29T00:04:52,SAVINGS,WITHDRAWAL,169110.17,SUCCESS,APP,IBADAN,VERIFIED
d5b8c1dd-3ad5-46a1-a427-d72190161d92,MRC-008782,2024-01-29T00:05:01,POS,CARD_TRANSACTION,191693.19,SUCCESS,POS,LAGOS,VERIFIED
06060788-faeb-42c1-9ec2-635631b61a88,MRC-006906,2024-01-29T00:05:46,AIRTIME,AIRTIME_PURCHASE,2764.68,SUCCESS,APP,OGUN,VERIFIED
72e372f0-0b7f-401b-a8e3-82f576e2a9c7,MRC-006387,2024-01-29T00:05:49,MONIEBOOK,SALE_RECORDED,8889.08,SUCCESS,APP,RIVERS,VERIFIED
bf7a3290-9d42-475b-bed9-a9f51c70d3db,MRC-002683,2024-01-29T00:05:53,BILLS,CABLE_TV,256.27,SUCCESS,POS,RIVERS,STARTER
970551a4-eee1-41b0-9968-b012fc7514d8,MRC-001075,2024-01-29T00:05:55,BILLS,ELECTRICITY,6646.83,SUCCESS,WEB,IBADAN,PREMIUM
31ef1ead-5a4e-40ab-917b-5b0ab314518a,MRC-005080,2024-01-29T00:06:17,CARD_PAYMENT,INVOICE_PAYMENT,75212.32,SUCCESS,WEB,DELTA,PREMIUM
47c76c77-6652-4181-87fa-7d8a7d4e6f25,MRC-002463,2024-01-29T00:06:45,SAVINGS,WITHDRAWAL,15102.7,SUCCESS,APP,ABUJA,VERIFIED
610620cc-db31-4416-aecd-ff5e821a64b1,MRC-006886,2024-01-29T00:06:46,BILLS,ELECTRICITY,11834.35,SUCCESS,POS,KADUNA,VERIFIED
307cd0b6-d36c-401c-8de0-ee8b5ec2dbee,MRC-002287,2024-01-29T00:06:56,SAVINGS,AUTO_SAVE,367924.55,SUCCESS,WEB,DELTA,PREMIUM
9f139e22-c4ab-496c-bcc8-54e510200d77,MRC-007188,2024-01-29T00:07:43,KYC,TIER_UPGRADE,0.0,SUCCESS,APP,OGUN,VERIFIED
01b52293-7ab1-4552-a19c-faac8e700bb8,MRC-001783,2024-01-29T00:08:00,MONIEBOOK,INVENTORY_UPDATE,96100.75,SUCCESS,APP,KANO,VERIFIED
da7ec667-563b-4365-961a-b6237551bfb1,MRC-005414,2024-01-29T00:08:04,CARD_PAYMENT,INVOICE_PAYMENT,437839.51,SUCCESS,APP,KANO,VERIFIED
ec0de451-bcf3-4eda-91b5-f569b892c4de,MRC-003622,2024-01-29T00:08:11,AIRTIME,DATA_PURCHASE,4043.0,SUCCESS,USSD,OGUN,PREMIUM
d61e895e-e267-48e1-bec9-8ee46e957ae3,MRC-000655,2024-01-29T00:08:29,AIRTIME,AIRTIME_PURCHASE,237.31,SUCCESS,WEB,OGUN,VERIFIED
ac199eb7-a871-4c35-8102-5553ff5d6eda,MRC-002598,2024-01-29T00:08:39,MONIEBOOK,SALE_RECORDED,36296.41,FAILED,APP,IBADAN,PREMIUM
7ca7ff30-3340-4060-845f-04bf40965edf,MRC-006671,2024-01-29T00:08:55,KYC,DOCUMENT_SUBMITTED,0.0,SUCCESS,APP,IBADAN,VERIFIED
