event_id,merchant_id,event_timestamp,product,event_type,amount,status,channel,region,merchant_tier
cb41440d-8b19-4595-8241-cfda44900ae6,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
b2943a6f-feb6-4bea-a2d0-2de8d93eb97c,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
a4113310-7b6d-429b-ad73-039f10f06641,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
92131c64-5e9e-4892-8e97-9d084044737e,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
355841ae-b88f-4c91-a050-caa3d07ed25f,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
0a6e8147-1106-463a-91fe-ab7cd0a007ea,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
df83c40f-e050-4002-be36-dd792e9c441b,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
b911935e-4100-4307-8c41-258b6eac0077,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
5267c4e9-d95a-4843-95ce-4a6b06028ede,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
90073f5b-d417-4204-91de-663838cd3218,MRC-008307,2024-01-02T00:00:28,BILLS,ELECTRICITY,36888.68,SUCCESS,POS,DELTA,STARTER
96944187-edbf-4b3e-a900-51f0d351888c,MRC-006645,2024-01-02T00:01:07,BILLS,ELECTRICITY,16365.31,SUCCESS,POS,LAGOS,STARTER
80696798-ef49-4cf4-9a1d-c1b68c9c8be7,MRC-007494,2024-01-02T00:01:18,AIRTIME,AIRTIME_PURCHASE,379.73,SUCCESS,USSD,ABUJA,VERIFIED
2de34380-56aa-4482-ba4b-f8ea3677bfb2,MRC-004109,2024-01-02T00:01:26,MONIEBOOK,EXPENSE_LOGGED,25257.99,SUCCESS,APP,KADUNA,PREMIUM
abee73c4-9ba0-467b-be12-ab59bdda2fac,MRC-001079,2024-01-02T00:01:42,KYC,DOCUMENT_SUBMITTED,0.0,SUCCESS,APP,ABUJA,VERIFIED
dcb076df-f1eb-4218-bcf6-c48c101e7cae,MRC-005111,2024-01-02T00:01:51,CARD_PAYMENT,SUPPLIER_PAYMENT,543901.59,SUCCESS,APP,ABUJA,PREMIUM
cdaa81d0-4a1a-406b-898a-efef008475fb,MRC-003514,2024-01-02T00:01:53,POS,CARD_TRANSACTION,124710.18,SUCCESS,POS,ABUJA,VERIFIED
25ae156f-cd8e-4903-95d6-27e9aa24a6ae,MRC-007269,2024-01-02T00:02:11,POS,CARD_TRANSACTION,72136.31,SUCCESS,POS,PORT_HARCOURT,VERIFIED
a4411b64-2e56-471a-975b-9c15aff426c2,MRC-009655,2024-01-02T00:02:24,POS,CARD_TRANSACTION,5849.35,SUCCESS,POS,RIVERS,STARTER
6ac8881e-66a5-4955-9c5c-8f0320287302,MRC-008853,2024-01-02T00:02:36,BILLS,INTERNET,8715.01,SUCCESS,USSD,LAGOS,PREMIUM
c2485dc6-c8f0-4c9b-9fae-f97714ba25ab,MRC-001659,2024-01-02T00:03:48,CARD_PAYMENT,SUPPLIER_PAYMENT,182462.62,SUCCESS,APP,OGUN,STARTER
badf105f-589c-4379-b9c2-08ca7c709d65,MRC-006136,2024-01-02T00:03:57,KYC,DOCUMENT_SUBMITTED,0.0,SUCCESS,WEB,IBADAN,STARTER
0cffad78-37dd-4e18-b802-cfe9c284164c,MRC-009153,2024-01-02T00:04:14,MONIEBOOK,SALE_RECORDED,80393.75,SUCCESS,WEB,KADUNA,PREMIUM
ab482aa5-a9bf-451a-b198-526e1462aefe,MRC-002680,2024-01-02T00:04:43,POS,CARD_TRANSACTION,50966.14,SUCCESS,POS,ABUJA,PREMIUM
4f3a30cc-13fd-48a5-901c-1de1a8097263,MRC-003252,2024-01-02T00:05:06,BILLS,ELECTRICITY,96174.14,SUCCESS,APP,ABUJA,STARTER
a2c22404-96f9-4810-a88b-07da8587d35a,MRC-005268,2024-01-02T00:05:07,AIRTIME,AIRTIME_PURCHASE,9946.41,PENDING,APP,KADUNA,VERIFIED
b9fe6598-f38f-4949-98f4-9a684a5de0ab,MRC-001392,2024-01-02T00:05:10,POS,CARD_TRANSACTION,6928.27,SUCCESS,POS,KADUNA,PREMIUM
93460f43-74ea-4056-9d9a-02a2954669ba,MRC-007685,2024-01-02T00:05:55,AIRTIME,AIRTIME_PURCHASE,8069.76,SUCCESS,APP,KANO,PREMIUM
bab3a6cb-8072-4906-b6f7-e2ecff2079dd,MRC-000033,2024-01-02T00:05:55,POS,CARD_TRANSACTION,40048.67,SUCCESS,POS,IBADAN,VERIFIED
